Model_Type,Type,Version,Shot,Metric,Infrastructural impact,Political impact,Financial impact,Ecological impact,Agricultural impact,Human health impact
mixtral,historical,350,oneshot,Recall,72.043,9.0909,50,21.2121,41.1765,50.7937
mixtral,historical,350,zeroshot,Recall,76.3441,22.7273,75.7576,21.2121,49.0196,55.5556
mixtral,modern,1300,oneshot,Recall,68,48.7179,68.75,38.0952,34.4828,55.5556
mixtral,modern,1300,zeroshot,Recall,68,64.1026,75,57.1429,37.931,55.5556
mixtral,modern,350,oneshot,Recall,61.1111,10.5263,48.3871,42.8571,21.4286,36.5385
mixtral,modern,350,zeroshot,Recall,56.9444,44.7368,64.5161,38.0952,17.8571,38.4615
Qwen_2.5_7B,historical,1300,oneshot,Recall,95.6989,27.2727,83.3333,87.8788,33.3333,79.3651
Qwen_2.5_7B,historical,1300,zeroshot,Recall,88.172,68.1818,53.0303,54.5455,54.902,47.619
Qwen_2.5_7B,historical,350,oneshot,Recall,93.5484,18.1818,71.2121,81.8182,37.2549,66.6667
Qwen_2.5_7B,historical,350,zeroshot,Recall,81.7204,50,39.3939,54.5455,41.1765,39.6825
Qwen_2.5_7B,modern,1300,oneshot,Recall,76,15.3846,56.25,71.4286,6.8966,57.4074
Qwen_2.5_7B,modern,1300,zeroshot,Recall,77.3333,53.8462,59.375,71.4286,55.1724,48.1481
Qwen_2.5_7B,modern,350,oneshot,Recall,59.7222,26.3158,45.1613,57.1429,35.7143,30.7692
Qwen_2.5_7B,modern,350,zeroshot,Recall,55.5556,34.2105,54.8387,61.9048,35.7143,25
